code,hs2,imports,commodity,exports,total
QC,25,255769603,"Salt, sulphur, stone, cement",0,255769603
BC,49,254692492,Printed books & media,0,254692492
BC,74,249418196,Copper,0,249418196
AB,19,248935277,Prepared cereals,0,248935277
AB,28,247788976,Inorganic chemicals,0,247788976
MB,88,247515440,Aircraft & spacecraft,0,247515440
AB,21,245908863,Misc food preparations,0,245908863
BC,17,241173014,Sugars,0,241173014
QC,16,234450544,Prepared meat & fish,0,234450544
MB,44,233085487,Wood & wood articles,0,233085487
QC,23,230804409,Food industry residues,0,230804409
MB,25,226299520,"Salt, sulphur, stone, cement",0,226299520
ON,54,225869787,Man-made filaments,0,225869787
NL,88,224079096,Aircraft & spacecraft,0,224079096
BC,30,223998671,Pharmaceuticals,0,223998671
MB,95,223908255,Toys & sports equipment,0,223908255
NB,39,223536248,Plastics,0,223536248
AB,33,217139330,Cosmetics & perfumes,0,217139330
BC,35,214439473,Protein substances,0,214439473
SK,29,213348586,Organic chemicals,0,213348586
ON,13,212148688,Resins & gums,0,212148688
MB,99,211757590,Confidential / low-value (CA),0,211757590
QC,12,208513414,Oil seeds,0,208513414
BC,25,208184532,"Salt, sulphur, stone, cement",0,208184532
SK,01,204650528,Live animals,0,204650528
QC,35,204012036,Protein substances,0,204012036
MB,32,203038952,Tanning & dye extracts,0,203038952
BC,04,202674205,Dairy products,0,202674205
NU,27,202360447,Mineral fuels & oils,0,202360447
AB,44,201533576,Wood & wood articles,0,201533576
AB,20,201029701,Prepared vegetables,0,201029701
AB,72,200657691,Iron & steel,0,200657691
SK,23,199999192,Food industry residues,0,199999192
NB,85,198817439,Electrical equipment,0,198817439
BC,18,196162552,Cocoa & cocoa products,0,196162552
MB,12,195884734,Oil seeds,0,195884734
NS,22,190626607,Beverages & spirits,0,190626607
SK,34,189715435,Soap & cleaning products,0,189715435
AB,82,188987265,Tools & cutlery,0,188987265
ON,55,187524814,Man-made staple fibres,0,187524814
MB,28,184132779,Inorganic chemicals,0,184132779
MB,83,183477129,Miscellaneous metal articles,0,183477129
SK,10,183252783,Cereals,0,183252783
MB,72,182080005,Iron & steel,0,182080005
ON,97,181809608,Works of art,0,181809608
SK,90,181065860,Optical & medical instruments,0,181065860
NS,61,181045391,Knitted apparel,0,181045391
MB,76,178969315,Aluminium,0,178969315
QC,54,178071489,Man-made filaments,0,178071489
AB,62,175679872,Woven apparel,0,175679872
AB,10,175339725,Cereals,0,175339725
QC,93,174201984,Arms & ammunition,0,174201984
QC,96,169971358,Miscellaneous manufactures,0,169971358
ON,92,168224888,Musical instruments,0,168224888
BC,06,167406390,Live trees & plants,0,167406390
AB,83,167067628,Miscellaneous metal articles,0,167067628
NS,33,165958104,Cosmetics & perfumes,0,165958104
MB,19,162495699,Prepared cereals,0,162495699
QC,56,162037925,Wadding & felt,0,162037925
ON,05,161351291,Other animal products,0,161351291
MB,33,159784351,Cosmetics & perfumes,0,159784351
AB,30,159216123,Pharmaceuticals,0,159216123
MB,68,156567725,Stone & cement articles,0,156567725
QC,36,155816163,Explosives,0,155816163
AB,61,154732483,Knitted apparel,0,154732483
MB,49,152969732,Printed books & media,0,152969732
MB,02,152863512,Meat & offal,0,152863512
SK,94,152696980,Furniture,0,152696980
AB,63,152261202,Other made-up textiles,0,152261202
PE,29,151450611,Organic chemicals,0,151450611
AB,70,149809668,Glass,0,149809668
NB,40,149791148,Rubber,0,149791148
NB,48,148202099,Paper & paperboard,0,148202099
MB,82,148057781,Tools & cutlery,0,148057781
SK,95,145300144,Toys & sports equipment,0,145300144
NS,89,144677184,Ships & boats,0,144677184
AB,25,143527045,"Salt, sulphur, stone, cement",0,143527045
BC,57,139257958,Carpets,0,139257958
MB,30,137287269,Pharmaceuticals,0,137287269
SK,72,135615699,Iron & steel,0,135615699
BC,86,134794989,Railway equipment,0,134794989
MB,21,134271475,Misc food preparations,0,134271475
QC,55,132135105,Man-made staple fibres,0,132135105
MB,57,131500108,Carpets,0,131500108
NL,89,128931880,Ships & boats,0,128931880
BC,01,127592665,Live animals,0,127592665
ON,67,126644827,Feathers & artificial flowers,0,126644827
QC,06,125802075,Live trees & plants,0,125802075
BC,93,125696087,Arms & ammunition,0,125696087
ON,58,124717586,Special woven fabrics,0,124717586
NB,73,123941383,Articles of iron & steel,0,123941383
BC,65,123347047,Headgear,0,123347047
MB,70,122884106,Glass,0,122884106
MB,10,122131161,Cereals,0,122131161
SK,16,120412062,Prepared meat & fish,0,120412062
QC,65,118855291,Headgear,0,118855291
NS,62,116367744,Woven apparel,0,116367744
MB,08,114750308,Fruit & nuts,0,114750308
QC,59,111767197,Coated textiles,0,111767197
MB,16,111017271,Prepared meat & fish,0,111017271
NB,44,111007997,Wood & wood articles,0,111007997
SK,19,110449032,Prepared cereals,0,110449032
MB,62,104452469,Woven apparel,0,104452469
QC,89,103447757,Ships & boats,0,103447757
NB,89,103363231,Ships & boats,0,103363231
ON,37,102326985,Photographic goods,0,102326985
QC,10,102032385,Cereals,0,102032385
BC,11,100840852,Milling products,0,100840852
ON,79,100586714,Zinc,0,100586714
MB,20,99907194,Prepared vegetables,0,99907194
QC,01,99103484,Live animals,0,99103484
AB,12,98367913,Oil seeds,0,98367913
QC,97,98180616,Works of art,0,98180616
SK,88,98066847,Aircraft & spacecraft,0,98066847
QC,57,97521764,Carpets,0,97521764
AB,42,96589799,Leather goods,0,96589799
MB,22,95066836,Beverages & spirits,0,95066836
SK,89,94849886,Ships & boats,0,94849886
SK,33,94118619,Cosmetics & perfumes,0,94118619
NL,73,93394422,Articles of iron & steel,0,93394422
MB,07,93296381,Vegetables,0,93296381
AB,16,93097341,Prepared meat & fish,0,93097341
BC,56,91079478,Wadding & felt,0,91079478
SK,48,90639666,Paper & paperboard,0,90639666
BC,92,90465283,Musical instruments,0,90465283
NS,72,90361979,Iron & steel,0,90361979
MB,15,89941207,Animal/veg fats & oils,0,89941207
SK,86,88965898,Railway equipment,0,88965898
SK,21,88819023,Misc food preparations,0,88819023
NB,28,88559762,Inorganic chemicals,0,88559762
AB,69,88372511,Ceramic products,0,88372511
NS,39,87990486,Plastics,0,87990486
NB,47,87136343,Wood pulp,0,87136343
ON,36,86512253,Explosives,0,86512253
AB,03,86194300,Fish & seafood,0,86194300
BC,97,84117841,Works of art,0,84117841
MB,96,83833329,Miscellaneous manufactures,0,83833329
MB,61,81314148,Knitted apparel,0,81314148
MB,35,81084403,Protein substances,0,81084403
NB,08,80401326,Fruit & nuts,0,80401326
NB,15,80025608,Animal/veg fats & oils,0,80025608
BC,91,79626209,Clocks & watches,0,79626209
SK,76,79400241,Aluminium,0,79400241
BC,59,78835130,Coated textiles,0,78835130
NB,90,76241858,Optical & medical instruments,0,76241858
AB,09,74904088,"Coffee, tea & spices",0,74904088
AB,96,74631431,Miscellaneous manufactures,0,74631431
ON,80,74465200,Tin,0,74465200
BC,13,72530950,Resins & gums,0,72530950
NB,22,72277513,Beverages & spirits,0,72277513
QC,51,70385754,Wool,0,70385754
ON,60,70306011,Knitted fabrics,0,70306011
AB,32,69274420,Tanning & dye extracts,0,69274420
QC,80,68794689,Tin,0,68794689
SK,02,66904935,Meat & offal,0,66904935
SK,68,66381199,Stone & cement articles,0,66381199
NU,88,66295793,Aircraft & spacecraft,0,66295793
MB,74,66060185,Copper,0,66060185
SK,28,65798512,Inorganic chemicals,0,65798512
MB,89,65430973,Ships & boats,0,65430973
MB,56,64870693,Wadding & felt,0,64870693
MB,04,63778776,Dairy products,0,63778776
MB,63,63710086,Other made-up textiles,0,63710086
BC,31,63445910,Fertilizers,0,63445910
NS,94,63208787,Furniture,0,63208787
NS,05,63180185,Other animal products,0,63180185
QC,60,62258046,Knitted fabrics,0,62258046
AB,02,61598175,Meat & offal,0,61598175
ON,52,60663734,Cotton,0,60663734
NB,38,59074248,Misc chemical products,0,59074248
QC,91,58967189,Clocks & watches,0,58967189
BC,05,58365067,Other animal products,0,58365067
BC,81,58107559,Other base metals,0,58107559
NS,76,58028045,Aluminium,0,58028045
AB,15,57993526,Animal/veg fats & oils,0,57993526
QC,13,56590360,Resins & gums,0,56590360
QC,24,56322065,Tobacco,0,56322065
SK,07,56117600,Vegetables,0,56117600
PE,31,56106259,Fertilizers,0,56106259
NB,94,55933063,Furniture,0,55933063
QC,98,54891207,Special transactions (CA),0,54891207
AB,74,54853898,Copper,0,54853898
SK,83,54729011,Miscellaneous metal articles,0,54729011
SK,30,53340624,Pharmaceuticals,0,53340624
AB,17,53217720,Sugars,0,53217720
BC,54,53197671,Man-made filaments,0,53197671
AB,64,51753338,Footwear,0,51753338
SK,49,50973558,Printed books & media,0,50973558
NB,07,49587121,Vegetables,0,49587121
SK,25,49123743,"Salt, sulphur, stone, cement",0,49123743
SK,32,49099758,Tanning & dye extracts,0,49099758
AB,49,48973234,Printed books & media,0,48973234
QC,11,48407871,Milling products,0,48407871
ON,66,47755413,Umbrellas,0,47755413
NT,27,47636388,Mineral fuels & oils,0,47636388
NS,90,47414170,Optical & medical instruments,0,47414170
SK,08,46113580,Fruit & nuts,0,46113580
SK,20,46014979,Prepared vegetables,0,46014979
SK,15,44861261,Animal/veg fats & oils,0,44861261
AB,56,44749163,Wadding & felt,0,44749163
AB,93,44709468,Arms & ammunition,0,44709468
NS,48,43813020,Paper & paperboard,0,43813020
AB,18,43722756,Cocoa & cocoa products,0,43722756
NB,19,43537918,Prepared cereals,0,43537918
NL,28,43460368,Inorganic chemicals,0,43460368
MB,64,43106343,Footwear,0,43106343
QC,41,42972643,Raw hides & skins,0,42972643
SK,44,42882234,Wood & wood articles,0,42882234
SK,12,42788817,Oil seeds,0,42788817
YT,03,42080886,Fish & seafood,0,42080886
MB,42,40840774,Leather goods,0,40840774
NB,68,40420630,Stone & cement articles,0,40420630
SK,82,40152516,Tools & cutlery,0,40152516
NS,21,40146205,Misc food preparations,0,40146205
BC,98,39985429,Special transactions (CA),0,39985429
SK,70,39931346,Glass,0,39931346
BC,67,39776887,Feathers & artificial flowers,0,39776887
AB,75,39041160,Nickel,0,39041160
NS,56,38944245,Wadding & felt,0,38944245
AB,04,38798063,Dairy products,0,38798063
AB,36,38608409,Explosives,0,38608409
BC,24,38542866,Tobacco,0,38542866
AB,57,37513609,Carpets,0,37513609
SK,22,37480846,Beverages & spirits,0,37480846
QC,79,37243656,Zinc,0,37243656
AB,65,36740465,Headgear,0,36740465
NS,86,36419225,Railway equipment,0,36419225
QC,52,36239283,Cotton,0,36239283
NB,23,36102407,Food industry residues,0,36102407
AB,35,35274284,Protein substances,0,35274284
AB,89,35129589,Ships & boats,0,35129589
MB,36,34233514,Explosives,0,34233514
NS,15,34009157,Animal/veg fats & oils,0,34009157
NB,56,33765919,Wadding & felt,0,33765919
AB,81,33698718,Other base metals,0,33698718
YT,84,33679864,Machinery & mechanical appliances,0,33679864
NS,19,33674324,Prepared cereals,0,33674324
ON,53,33654571,Vegetable textile fibres,0,33654571
AB,59,33440442,Coated textiles,0,33440442
MB,26,33183134,"Ores, slag & ash",0,33183134
NB,70,33069953,Glass,0,33069953
MB,71,32620773,Precious metals & stones,0,32620773
ON,46,32553609,Basketware,0,32553609
QC,05,32308534,Other animal products,0,32308534
NB,76,31855728,Aluminium,0,31855728
MB,06,31710981,Live trees & plants,0,31710981
NL,99,31001005,Confidential / low-value (CA),0,31001005
NS,08,30711491,Fruit & nuts,0,30711491
SK,35,30194110,Protein substances,0,30194110
BC,75,30192445,Nickel,0,30192445
ON,41,30008421,Raw hides & skins,0,30008421
NS,44,29972725,Wood & wood articles,0,29972725
MB,75,29280155,Nickel,0,29280155
MB,18,28952441,Cocoa & cocoa products,0,28952441
QC,92,28752880,Musical instruments,0,28752880
MB,69,28607554,Ceramic products,0,28607554
NS,18,28497425,Cocoa & cocoa products,0,28497425
SK,62,28325488,Woven apparel,0,28325488
BC,66,27851827,Umbrellas,0,27851827
ON,51,27078142,Wool,0,27078142
NB,74,26618837,Copper,0,26618837
MB,11,26613009,Milling products,0,26613009
NB,32,26515786,Tanning & dye extracts,0,26515786
NB,88,26510807,Aircraft & spacecraft,0,26510807
SK,36,26334271,Explosives,0,26334271
MB,17,26236479,Sugars,0,26236479
MB,59,26014603,Coated textiles,0,26014603
QC,58,25714919,Special woven fabrics,0,25714919
NB,20,25461400,Prepared vegetables,0,25461400
SK,56,25368151,Wadding & felt,0,25368151
MB,65,24564764,Headgear,0,24564764
AB,91,24390871,Clocks & watches,0,24390871
BC,52,23904253,Cotton,0,23904253
NS,29,23643199,Organic chemicals,0,23643199
SK,63,21539590,Other made-up textiles,0,21539590
ON,78,21507933,Lead,0,21507933
NB,83,21437075,Miscellaneous metal articles,0,21437075
SK,99,21344733,Confidential / low-value (CA),0,21344733
AB,13,21160481,Resins & gums,0,21160481
NS,30,20977873,Pharmaceuticals,0,20977873
SK,18,20884742,Cocoa & cocoa products,0,20884742
SK,59,20862187,Coated textiles,0,20862187
NS,54,20575104,Man-made filaments,0,20575104
NS,25,20479336,"Salt, sulphur, stone, cement",0,20479336
BC,60,20446615,Knitted fabrics,0,20446615
NS,28,20295526,Inorganic chemicals,0,20295526
MB,09,20238472,"Coffee, tea & spices",0,20238472
PE,85,19781065,Electrical equipment,0,19781065
BC,55,19646143,Man-made staple fibres,0,19646143
MB,01,19525439,Live animals,0,19525439
AB,54,19448884,Man-made filaments,0,19448884
AB,11,19424343,Milling products,0,19424343
MB,55,19057344,Man-made staple fibres,0,19057344
AB,60,18919196,Knitted fabrics,0,18919196
NL,90,18645657,Optical & medical instruments,0,18645657
SK,69,18287954,Ceramic products,0,18287954
SK,74,17828030,Copper,0,17828030
NS,64,17561348,Footwear,0,17561348
MB,81,17382166,Other base metals,0,17382166
SK,06,17378802,Live trees & plants,0,17378802
NB,25,17363791,"Salt, sulphur, stone, cement",0,17363791
QC,67,17118107,Feathers & artificial flowers,0,17118107
AB,06,17068742,Live trees & plants,0,17068742
SK,96,16829870,Miscellaneous manufactures,0,16829870
QC,66,16749592,Umbrellas,0,16749592
NS,69,16738419,Ceramic products,0,16738419
SK,54,16654957,Man-made filaments,0,16654957
NL,85,16304245,Electrical equipment,0,16304245
NS,70,16265486,Glass,0,16265486
NS,20,16002754,Prepared vegetables,0,16002754
NB,05,15830022,Other animal products,0,15830022
BC,58,15821604,Special woven fabrics,0,15821604
SK,61,15707909,Knitted apparel,0,15707909
NS,38,15610776,Misc chemical products,0,15610776
SK,04,15580373,Dairy products,0,15580373
MB,93,15533026,Arms & ammunition,0,15533026
ON,14,15399169,Vegetable materials,0,15399169
ON,43,15231167,Furskins,0,15231167
NB,63,15230741,Other made-up textiles,0,15230741
NB,12,15141057,Oil seeds,0,15141057
MB,54,14570163,Man-made filaments,0,14570163
AB,97,14476956,Works of art,0,14476956
SK,17,14439120,Sugars,0,14439120
MB,05,14106942,Other animal products,0,14106942
ON,45,14076434,Cork,0,14076434
BC,46,13819123,Basketware,0,13819123
NB,33,13733173,Cosmetics & perfumes,0,13733173
NS,74,13252546,Copper,0,13252546
NB,31,13231380,Fertilizers,0,13231380
NS,68,12987881,Stone & cement articles,0,12987881
MB,60,12683594,Knitted fabrics,0,12683594
NB,34,12445506,Soap & cleaning products,0,12445506
AB,05,12394964,Other animal products,0,12394964
BC,36,12302049,Explosives,0,12302049
SK,11,12213407,Milling products,0,12213407
YT,90,12189382,Optical & medical instruments,0,12189382
QC,53,12181558,Vegetable textile fibres,0,12181558
BC,53,12093916,Vegetable textile fibres,0,12093916
NB,95,11907377,Toys & sports equipment,0,11907377
NB,21,11835896,Misc food preparations,0,11835896
NB,30,11691666,Pharmaceuticals,0,11691666
NB,29,11652963,Organic chemicals,0,11652963
SK,75,11306180,Nickel,0,11306180
QC,78,11223838,Lead,0,11223838
SK,09,11137592,"Coffee, tea & spices",0,11137592
NS,63,10867129,Other made-up textiles,0,10867129
SK,13,10707978,Resins & gums,0,10707978
NB,62,10576967,Woven apparel,0,10576967
NB,11,10253720,Milling products,0,10253720
BC,14,9842307,Vegetable materials,0,9842307
NB,06,9648950,Live trees & plants,0,9648950
NB,72,9621558,Iron & steel,0,9621558
MB,91,9467685,Clocks & watches,0,9467685
NB,10,9138750,Cereals,0,9138750
AB,67,8903292,Feathers & artificial flowers,0,8903292
SK,81,8767496,Other base metals,0,8767496
AB,47,8662929,Wood pulp,0,8662929
NB,57,8645625,Carpets,0,8645625
NL,25,8564843,"Salt, sulphur, stone, cement",0,8564843
NB,35,8363344,Protein substances,0,8363344
NS,36,8199408,Explosives,0,8199408
SK,03,8106921,Fish & seafood,0,8106921
QC,46,8086756,Basketware,0,8086756
NS,59,8050092,Coated textiles,0,8050092
MB,58,8035835,Special woven fabrics,0,8035835
AB,24,7935578,Tobacco,0,7935578
BC,79,7903348,Zinc,0,7903348
BC,51,7812792,Wool,0,7812792
NS,81,7806597,Other base metals,0,7806597
QC,43,7801328,Furskins,0,7801328
NS,35,7784816,Protein substances,0,7784816
NB,82,7777051,Tools & cutlery,0,7777051
